cluster_index	voxels	max_r	max_x_mm	max_y_mm	max_z_mm	cog_x_mm	cog_y_mm	cog_z_mm
9	547	0.4343	14	6	-16	11.517367	0.85192	-9.787934
8	413	0.403657	52	-28	-34	46.939467	-14.159806	-45.050847
7	107	0.367972	-10	2	-6	-10.934579	3.943925	-7.401869
6	98	0.359419	10	-104	-22	10.163265	-100.489796	-22.387755
5	85	0.336488	20	2	26	19.976471	4.094118	24.541176
4	72	0.3592	2	-74	-56	0.333333	-74.805556	-55.416667
3	67	0.353437	28	36	-22	24.597015	36.059701	-22.656716
2	60	0.370439	38	42	48	33.0	48.666667	44.4
1	40	0.390141	-22	-14	-50	-23.35	-14.6	-49.5
